objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation,depiction,season,colors
photo001,Iowa_Melt_11779.jpg,,Iowa Melt,image/jpeg,Photograph of snow melt,"Blalock, Stephanie",,2017-09-04,yes,digital photo,ice; snow,"Iowa City, IA",46.47935,-116.25514,,,,,,class_projtest_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,,Melting,Winter,white
photo002,Iowa_River_Sunrise _17561.jpg,,Iowa River Sunrise,image/jpeg,Photograph of sunrise,"Blalock, Stephanie",,2017-09-17,yes,digital photo,sunrise,"Iowa City, IA",45.128427,-115.322963,,,,,,class_projtest_002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,,Sunrise,Winter,red
photo003,Snow_march_walk_11851.jpg,,Snow March Walk,image/jpeg,Photograph of walk,"Blalock, Stephanie",,2016-04-05,yes,digital photo,snow; walk,"Iowa City, IA",47.650864,-116.08913,,,,,,class_projtest_003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,,Snowy,Spring,brown
photo004,Webs_20809.jpg,,Webs,image/jpeg,Photograph of webs,"Blalock, Stephanie",,2014-09-08,yes,digital photo,spring; spiders,"Iowa City, IA",43.53814,-116.808364,,,,,,class_projtest_004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,,Spiderwebs,Fall,green
photo005,Books_13110.jpg,,Balloon and Stairs,image/jpeg,Photograph of balloon,"Blalock, Stephanie",,2013-04-05,yes,digital photo,heart; holiday,"Cedar Rapids, IA",43.53814,-116.808364,,,,,,class_projtest_005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. For other uses beyond free use, please contact Stephanie Blalock.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,,,Heart,Winter,pink
